File,Model,Response,Actions_ground_truth_labels,Actions_predicted_labels,Actions_precision,Actions_recall,Actions_f1_score,Data Types_ground_truth_labels,Data Types_predicted_labels,Data Types_precision,Data Types_recall,Data Types_f1_score,Purposes_ground_truth_labels,Purposes_predicted_labels,Purposes_precision,Purposes_recall,Purposes_f1_score
Synapse\account_validity_callbacks.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Synapse\account_validity_callbacks.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Synapse\password_auth_provider_callbacks.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Synapse\password_auth_provider_callbacks.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\DatabaseSchema.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\DatabaseSchema.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'contact data', 'account information', 'contactdata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\INotificationDistributor.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'contact data', 'account information', 'contactdata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\INotificationDistributor.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\INotificationSubscriber.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\INotificationSubscriber.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],[],0.0,0.0,0.0,[],[],0.0,0.0,0.0
Zulip\file.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['healthdata', 'contact data', 'contactdata', 'financial', 'accountinformation', 'usage data', 'health data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Zulip\file.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['healthdata', 'tracking', 'contact data', 'contactdata', 'accountinformation', 'usage data', 'health data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
